CARDNUM;CREDLIM;CUSTNO;EXPDT;FINCHG;MINPYMTDUE;NEWBAL;PASTDUEAMT;PMTDUEDT;PREVBAL;RATE;STMTDT
8590122497663807;9000;962353;01/08/2005;;10;37,23;0;28/04/2003;0;12,9;29/03/2003
8590-1222-8196- 4011;8000;812465;01/03/2004;14,68;30;929,79;10;03/05/2003;443,81;12,9;03/04/2003
8590120784984566;6900;051593;01/10/2004;113,2;129;6408,12;0;04/05/2003;6294,92;12,9;04/04/2003
8590124253621744;7200;250402;01/04/2004;101,41;0;5891,59;0;14/05/2003;5850,96;12,9;14/04/2003
8590125999743363;9000;778088;01/02/2004;0;0;384,95;0;12/05/2003;1352,51;12,9;12/04/2003
8590120716753180;8000;778088;01/01/2005;0,5;20,79;85,2;10,79;07/05/2003;10,79;12,9;07/04/2003
8590128947747852;10000;250402;01/06/2004;0;1,31;1,31;0;17/05/2003;181,93;12,9;17/04/2003
8590122720558982;5700;051593;01/01/2005;0;10;32,35;0;14/05/2003;158,39;12,9;14/04/2003
8590128676326319;7300;778088;01/09/2005;0;0;0;0;30/04/2003;0;12,9;31/03/2003
8590124781270125;8000;778088;01/03/2004;14,46;0;1280,69;0;04/05/2003;764,2;12,9;04/04/2003
8590121762084715;6000;051593;01/01/2005;0;0;-0,02;0;21/05/2003;-0,02;12,9;21/04/2003
8590129593164703;9000;051593;01/09/2005;0;10;19,95;0;21/05/2003;19,95;12,9;21/04/2003
8590127307204051;9000;878035;01/10/2004;0;10;455,12;0;03/05/2003;0;12,9;03/04/2003
8590121282195395;9500;778088;01/10/2005;0;10;48,67;0;10/05/2003;127,61;12,9;10/04/2003
8590121300586153;1000;778088;01/11/2004;0;0;0;0;14/05/2003;-0,37;12,9;14/04/2003
8590127188365686;4400;250402;01/01/2004;54,91;65;3098,93;0;04/05/2003;3109,02;12,9;04/04/2003
8590 1208 8425 0381;7000;503458;01/07/2004;0;0;-0,17;0;29/04/2003;-0,17;12,9;30/03/2003
8590125431232531;1300;503458;01/07/2004;34,76;225;1986,63;183;30/04/2003;1893,87;12,9;31/03/2003
8590121620630401;8000;284354;01/03/2005;0;10;101,82;0;12/05/2003;0;12,9;12/04/2003
8590126323841585;9000;925007;01/04/2005;0;10;24,24;0;03/05/2003;325,21;12,9;03/04/2003
8590121039256285;10000;284354;01/11/2005;0;0;0;0;20/05/2003;23,81;12,9;20/04/2003
8590122491455345;9000;503458;01/07/2004;0;10;378,65;0;18/05/2003;73,36;12,9;18/04/2003
8590-1270 4377-1382;6500;250402;01/01/2005;87,52;102;5060,82;0;07/05/2003;4941,37;12,9;07/04/2003
8590129923638380;9000;202028;01/11/2004;73;181;8671,38;0;17/05/2003;6405,43;12,9;17/04/2003
8590123507612981;6800;925007;01/06/2005;0;0;0;0;26/04/2003;2,54;12,9;27/03/2003
8590126391902275;7000;962353;01/08/2004;5,53;0;488,92;0;03/05/2003;418,52;12,9;03/04/2003
8590122965563802;3800;284354;01/05/2005;64,26;0;3669,55;0;18/05/2003;3705,29;12,9;18/04/2003
8590128618251512;9000;503458;01/06/2005;0;10;408,76;0;03/05/2003;538,68;12,9;03/04/2003
8590125323000756;4900;503458;01/06/2005;77,35;90;4641,63;0;26/04/2003;4462,05;12,9;27/03/2003
8590128098022583;5600;962353;01/02/2005;0;717;5792,57;596;05/05/2003;5792,57;12,9;05/04/2003
8590126009071523;2400;778088;01/09/2004;0;50;1792,05;0;20/05/2003;1843,05;12,9;20/04/2003
8590128742834790;9500;284354;01/05/2004;1,53;20;89,19;10;29/04/2003;45,76;12,9;30/03/2003
8590123888722712;8200;812465;01/09/2004;95,47;33;6580,59;0;13/05/2003;6685,12;12,9;13/04/2003
8590127928113525;6000;925007;01/11/2005;0;0;-0,27;0;20/05/2003;-0,27;12,9;20/04/2003
8590128759193385;9000;202028;01/11/2005;61,19;0;4967,92;0;26/04/2003;2465,38;12,9;27/03/2003
